x,exact,approx
0,1,0.9999999999999994
0.5,0.7648421872844885,0.7648421872364181
1,0.169967142900241,0.1699671427206089
1.5,-0.5048461045998571,-0.5048461049296054
2,-0.9422223406686581,-0.9422223410934117
2.5,-0.9364566872907963,-0.9364566877076992
3,-0.4902608213407003,-0.4902608216475264
3.5,0.1865123694225749,0.1865123692793416
4,0.7755658785102496,0.7755658785102489
0.25,0.9393727128473789,0.939255924531326
0.75,0.4975710478917272,0.4975091868444615
1.25,-0.1782460556494921,-0.1782238953154045
1.75,-0.7702312540473072,-0.7701354947847597
2.25,-0.999964658471342,-0.9998403374562336
2.75,-0.7593990591375082,-0.759304646581195
3.25,-0.1616762163536865,-0.1616561160489592
3.75,0.5120854772418406,0.5120218117183362
