x,exact,approx
0,1,0.9999999999999976
0.03125,0.9990431213917298,0.9990431213917306
0.0625,0.996174316800261,0.9961743168002636
0.09375,0.9913990764210835,0.9913990764210886
0.125,0.9847265389049334,0.9847265389049416
0.15625,0.9761694738686353,0.9761694738686463
0.1875,0.9657442574571544,0.9657442574571684
0.21875,0.9534708410036326,0.9534708410036495
0.25,0.9393727128473789,0.9393727128474002
0.28125,0.9234768533828924,0.9234768533829188
0.3125,0.9058136834259364,0.9058136834259676
0.34375,0.8864170059954829,0.8864170059955198
0.375,0.8653239416229414,0.8653239416229843
0.40625,0.8425748573124736,0.8425748573125228
0.4375,0.8182132892883486,0.8182132892884041
0.46875,0.7922858596771786,0.792285859677241
0.5,0.7648421872844885,0.7648421872845582
0.53125,0.7359347926363682,0.7359347926364453
0.5625,0.7056189974679365,0.7056189974680216
0.59375,0.6739528188509728,0.6739528188510656
0.625,0.6409968581633252,0.6409968581634258
0.65625,0.6068141851125878,0.6068141851126961
0.6875,0.571470217035992,0.5714702170361081
0.71875,0.5350325937075057,0.5350325937076296
0.75,0.4975710478917272,0.4975710478918589
0.78125,0.4591572718923041,0.4591572718924442
0.8125,0.4198647803502703,0.4198647803504189
0.84375,0.37976876955487,0.3797687695550274
0.875,0.3389459735361174,0.3389459735362835
0.90625,0.2974745172144928,0.2974745172146673
0.9375,0.2554337668888117,0.2554337668889949
0.96875,0.2129041783483993,0.2129041783485908
1,0.169967142900241,0.169967142900441
1.03125,0.1267048316057826,0.1267048316059911
1.0625,0.08320003802546817,0.08320003802568528
1.09375,0.03953601977196579,0.039536019772192
1.125,-0.004203660824688264,-0.004203660824452896
1.15625,-0.04793529663510318,-0.04793529663485834
1.1875,-0.09157519592565566,-0.09157519592540099
1.21875,-0.1350398425241493,-0.1350398425238845
1.25,-0.1782460556494921,-0.1782460556492166
1.28125,-0.2211111490995156,-0.2211111490992294
1.3125,-0.2635530894922923,-0.2635530894919954
1.34375,-0.3054906532581116,-0.3054906532578041
1.375,-0.3468435820816725,-0.346843582081354
1.40625,-0.3875327364970139,-0.3875327364966842
1.4375,-0.4274802473412385,-0.4274802473408977
1.46875,-0.4666096647771855,-0.4666096647768335
1.5,-0.5048461045998571,-0.5048461045994947
1.53125,-0.5421163915466088,-0.5421163915462365
1.5625,-0.5783491993368334,-0.5783491993364513
1.59375,-0.6134751871731463,-0.6134751871727551
1.625,-0.6474271324428384,-0.6474271324424378
1.65625,-0.6801400593656337,-0.6801400593652246
1.6875,-0.71155136334156,-0.7115513633411426
1.71875,-0.7416009307609522,-0.7416009307605268
1.75,-0.7702312540473072,-0.7702312540468746
1.78125,-0.7973875417128243,-0.7973875417123849
1.8125,-0.8230178232160089,-0.8230178232155628
1.84375,-0.8470730484206728,-0.8470730484202204
1.875,-0.8695071814659845,-0.8695071814655264
1.90625,-0.8902772888679317,-0.8902772888674687
1.9375,-0.909343621683586,-0.9093436216831189
1.96875,-0.9266696915809282,-0.9266696915804579
2,-0.9422223406686581,-0.9422223406681851
2.03125,-0.9559718049523478,-0.9559718049518725
2.0625,-0.9678917712955005,-0.9678917712950235
2.09375,-0.9779594277765065,-0.9779594277760281
2.125,-0.9861555073451213,-0.9861555073446423
2.15625,-0.9924643246949233,-0.9924643246944438
2.1875,-0.9968738062811815,-0.9968738062807015
2.21875,-0.9993755134266887,-0.9993755134262093
2.25,-0.999964658471342,-0.9999646584708636
2.28125,-0.9986401139345602,-0.9986401139340831
2.3125,-0.9954044146730093,-0.9954044146725343
2.34375,-0.9902637530295018,-0.9902637530290295
2.375,-0.9832279669823556,-0.9832279669818865
2.40625,-0.9743105213178924,-0.9743105213174265
2.4375,-0.9635284818621059,-0.9635284818616432
2.46875,-0.9509024828208135,-0.9509024828203546
2.5,-0.9364566872907963,-0.9364566872903424
