x,exact,approx
0,1,1
0.000732422,0.999999,0.999999
0.00146484,0.999998,0.999998
0.00219727,0.999995,0.999995
0.00292969,0.999992,0.999992
0.00366211,0.999987,0.999987
0.00439453,0.999981,0.999981
0.00512695,0.999974,0.999974
0.00585938,0.999966,0.999966
0.0065918,0.999957,0.999957
0.00732422,0.999947,0.999947
0.00805664,0.999936,0.999936
0.00878906,0.999924,0.999924
0.00952148,0.999911,0.999911
0.0102539,0.999897,0.999897
0.0109863,0.999882,0.999882
0.0117188,0.999865,0.999865
0.0124512,0.999848,0.999848
0.0131836,0.99983,0.99983
0.013916,0.99981,0.99981
0.0146484,0.99979,0.99979
0.0153809,0.999768,0.999768
0.0161133,0.999746,0.999746
0.0168457,0.999722,0.999722
0.0175781,0.999697,0.999697
0.0183105,0.999671,0.999671
0.019043,0.999645,0.999645
0.0197754,0.999617,0.999617
0.0205078,0.999588,0.999588
0.0212402,0.999558,0.999558
0.0219727,0.999527,0.999527
0.0227051,0.999495,0.999495
0.0234375,0.999462,0.999462
0.0241699,0.999428,0.999428
0.0249023,0.999392,0.999392
0.0256348,0.999356,0.999356
0.0263672,0.999319,0.999319
0.0270996,0.99928,0.99928
0.027832,0.999241,0.999241
0.0285645,0.9992,0.9992
0.0292969,0.999159,0.999159
0.0300293,0.999116,0.999116
0.0307617,0.999073,0.999073
0.0314941,0.999028,0.999028
0.0322266,0.998982,0.998982
0.032959,0.998936,0.998936
0.0336914,0.998888,0.998888
0.0344238,0.998839,0.998839
0.0351562,0.998789,0.998789
0.0358887,0.998738,0.998738
0.0366211,0.998686,0.998686
0.0373535,0.998633,0.998633
0.0380859,0.998579,0.998579
0.0388184,0.998524,0.998524
0.0395508,0.998467,0.998467
0.0402832,0.99841,0.99841
0.0410156,0.998352,0.998352
0.041748,0.998292,0.998292
0.0424805,0.998232,0.998232
0.0432129,0.998171,0.998171
0.0439453,0.998108,0.998108
0.0446777,0.998044,0.998044
0.0454102,0.99798,0.99798
0.0461426,0.997914,0.997914
0.046875,0.997847,0.997847
0.0476074,0.99778,0.99778
0.0483398,0.997711,0.997711
0.0490723,0.997641,0.997641
0.0498047,0.99757,0.99757
0.0505371,0.997498,0.997498
0.0512695,0.997425,0.997425
0.052002,0.997351,0.997351
0.0527344,0.997276,0.997276
0.0534668,0.9972,0.9972
0.0541992,0.997123,0.997123
0.0549316,0.997044,0.997044
0.0556641,0.996965,0.996965
0.0563965,0.996885,0.996885
0.0571289,0.996803,0.996803
0.0578613,0.996721,0.996721
0.0585938,0.996637,0.996637
0.0593262,0.996553,0.996553
0.0600586,0.996467,0.996467
0.060791,0.996381,0.996381
0.0615234,0.996293,0.996293
0.0622559,0.996204,0.996204
0.0629883,0.996114,0.996114
0.0637207,0.996024,0.996024
0.0644531,0.995932,0.995932
0.0651855,0.995839,0.995839
0.065918,0.995745,0.995745
0.0666504,0.99565,0.99565
0.0673828,0.995554,0.995554
0.0681152,0.995457,0.995457
0.0688477,0.995358,0.995358
0.0695801,0.995259,0.995259
0.0703125,0.995159,0.995159
0.0710449,0.995058,0.995058
0.0717773,0.994955,0.994955
0.0725098,0.994852,0.994852
0.0732422,0.994747,0.994747
0.0739746,0.994642,0.994642
0.074707,0.994535,0.994535
0.0754395,0.994428,0.994428
0.0761719,0.994319,0.994319
0.0769043,0.99421,0.99421
0.0776367,0.994099,0.994099
0.0783691,0.993987,0.993987
0.0791016,0.993874,0.993874
0.079834,0.993761,0.993761
0.0805664,0.993646,0.993646
0.0812988,0.99353,0.99353
0.0820312,0.993413,0.993413
0.0827637,0.993295,0.993295
0.0834961,0.993176,0.993176
0.0842285,0.993055,0.993055
0.0849609,0.992934,0.992934
0.0856934,0.992812,0.992812
0.0864258,0.992689,0.992689
0.0871582,0.992565,0.992565
0.0878906,0.992439,0.992439
0.088623,0.992313,0.992313
0.0893555,0.992185,0.992185
0.0900879,0.992057,0.992057
0.0908203,0.991928,0.991928
0.0915527,0.991797,0.991797
0.0922852,0.991665,0.991665
0.0930176,0.991533,0.991533
0.09375,0.991399,0.991399
0.0944824,0.991264,0.991264
0.0952148,0.991129,0.991129
0.0959473,0.990992,0.990992
0.0966797,0.990854,0.990854
0.0974121,0.990715,0.990715
0.0981445,0.990575,0.990575
0.098877,0.990434,0.990434
0.0996094,0.990292,0.990292
0.100342,0.990149,0.990149
0.101074,0.990005,0.990005
0.101807,0.98986,0.98986
0.102539,0.989714,0.989714
0.103271,0.989566,0.989566
0.104004,0.989418,0.989418
0.104736,0.989269,0.989269
0.105469,0.989119,0.989119
0.106201,0.988967,0.988967
0.106934,0.988815,0.988815
0.107666,0.988661,0.988661
0.108398,0.988507,0.988507
0.109131,0.988351,0.988351
0.109863,0.988195,0.988195
0.110596,0.988037,0.988037
0.111328,0.987878,0.987878
0.112061,0.987719,0.987719
0.112793,0.987558,0.987558
0.113525,0.987396,0.987396
0.114258,0.987234,0.987234
0.11499,0.98707,0.98707
0.115723,0.986905,0.986905
0.116455,0.986739,0.986739
0.117188,0.986572,0.986572
0.11792,0.986404,0.986404
0.118652,0.986235,0.986235
0.119385,0.986065,0.986065
0.120117,0.985894,0.985894
0.12085,0.985722,0.985722
0.121582,0.985548,0.985548
0.122314,0.985374,0.985374
0.123047,0.985199,0.985199
0.123779,0.985023,0.985023
0.124512,0.984845,0.984845
0.125244,0.984667,0.984667
0.125977,0.984488,0.984488
0.126709,0.984307,0.984307
0.127441,0.984126,0.984126
0.128174,0.983943,0.983943
0.128906,0.98376,0.98376
0.129639,0.983575,0.983575
0.130371,0.983389,0.983389
0.131104,0.983203,0.983203
0.131836,0.983015,0.983015
0.132568,0.982826,0.982826
0.133301,0.982637,0.982637
0.134033,0.982446,0.982446
0.134766,0.982254,0.982254
0.135498,0.982061,0.982061
0.13623,0.981867,0.981867
0.136963,0.981673,0.981673
0.137695,0.981477,0.981477
0.138428,0.98128,0.98128
0.13916,0.981082,0.981082
0.139893,0.980883,0.980883
0.140625,0.980683,0.980683
0.141357,0.980482,0.980482
0.14209,0.980279,0.980279
0.142822,0.980076,0.980076
0.143555,0.979872,0.979872
